Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Exercise,Healthy Basics,1,2,Maintenance,1083,,Just breathe,Breathing exercises to improve respiratory health ,Different breathing exercises you can try to help improve your respiratory health.,,Sign up,All,Daily,Healthline,https://www.healthline.com/health/how-to-increase-lung-capacity,0-45,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://www.scielo.br/j/clin/a/ZRYgFMXwkPD6WRhJtLzqB3c/abstract/?lang=en, https://europepmc.org/article/med/3292262",,Healthline,Content writer,https://www.healthline.com/health/how-to-increase-lung-capacity,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.healthline.com,N/A,Yearly,G,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,
Health,Exercise,Healthy Basics,1,2,Development,1084,1085,Breathing exercises,Read more about the benefits of breathing exercises,"Breathing is something you do tens of thousands of times each day, without even thinking about it. Learn more about using breathing as a life-enhancing tool.","Breathing exercises not only improve your respiratory health, but they can also help build strength and stamina, as well as improve general mood and wellbeing.",Read,All,,,,46-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://www.scielo.br/j/clin/a/ZRYgFMXwkPD6WRhJtLzqB3c/abstract/?lang=en, https://europepmc.org/article/med/3292262",,Regina Lawrence,Content writer ,https://reginalawrence.com/2022/09/05/the-health-benefits-of-breathing-exercises-for-seniors/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Elderly gym ,Content writer ,https://eldergym.com/elderly-breathing/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Harvard,Company,https://www.health.harvard.edu/staying-healthy/breathing-your-way-to-better-health,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Exercise,Healthy Basics,1,2,Maintenance,1085,,Just breathe,Breathing exercises to improve respiratory health ,"Different breathing exercises you can try, to help improve your respiratory health.",,Sign up,All,Daily,Elderly gym ,https://eldergym.com/elderly-breathing/,46-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://www.scielo.br/j/clin/a/ZRYgFMXwkPD6WRhJtLzqB3c/abstract/?lang=en, https://europepmc.org/article/med/3292262",,Elderly gym ,Content writer ,https://eldergym.com/elderly-breathing/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Healthy Basics,1,3,Development,1086,,Carbon monoxide checks,Learn about the importance of gas safety checks,Learn about the importance of having gas safety checks and carbon monoxide detectors to keep you and your family safe.,"Carbon monoxide is an odourless and colourless gas that poses a severe health risk, as it’s highly toxic to humans. Having gas safety checks as well as a carbon monoxide detector can help keep you safe.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Parkstone Yorkshire,Content writer ,https://www.parkstone-yorkshire.co.uk/safety-first-understanding-the-importance-of-a-gas-safety-check/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Gas safe register,Company,https://www.gassaferegister.co.uk/gas-safety/home-gas-safety/check-your-gas-appliances/,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.gassaferegister.co.uk,N/A,Quarterly,,CM detectors,Company,https://cmdetectors.com/blog/why-do-i-need-carbon-monoxide-detectors/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Nutrition,Diagnostic,3,1,Development,1087,1088,Eat more nuts ,Eating nuts can help you live longer,"Eating more nuts can help you live longer and have lower rates of heart disease, diabetes, and some types of cancer. Eating a handful of nuts a day can go a long way in benefitting your health.","Eating nuts as part of a healthy diet may be good for the heart. Nuts contain unsaturated fatty acids and other nutrients. They are a great inexpensive snack food, easy to store and easy to pack when you're on the go.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://www.mdpi.com/2076-3921/8/8/302, https://academic.oup.com/ajcn/article/70/3/500s/4714957",,Life time daily ,Content writer ,https://www.lifetimedaily.com/what-are-the-healthiest-nuts/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,BBC,Company,https://www.bbcgoodfood.com/howto/guide/health-benefits-nuts,Online,N/A,Free,No,None,,,1.9,https://uk.trustpilot.com/review/www.bbcgoodfood.com,N/A,Yearly,,Nutmad,Company,https://nutmad.com/shop/healthy-snack-box-subscription/,Online,N/A,Paid,Yes (nsu),None,,,N/A,N/A,N/A,Quarterly,G,,,,,,,,,,,,,,,
Health,Nutrition,Diagnostic,3,1,Maintenance,1088,,Nut Subscription ,Get a healthy nutty subscription box,"With all the health benefits of eating nuts, add more nuts to your diet with a subscription service to get a delivery of nuts straight to your door.",,Sign up,UK,Weekly,Nutmad,https://nutmad.com/shop/healthy-snack-box-subscription/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://www.mdpi.com/2076-3921/8/8/302, https://academic.oup.com/ajcn/article/70/3/500s/4714957",,Nutmad,Company,https://nutmad.com/shop/healthy-snack-box-subscription/,Online,N/A,Paid,Yes (nsu),None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Advanced brain & body fitness,4,2,Development,1089,1090,Try hypnotherapy ,Try online hypnotherapy ,Try online hypnotherapy to help you to relive stress.,"Hypnotherapy, or clinical hypnosis, is a treatment where you're guided into a deeply relaxed state of highly focused awareness to affect change. In conjunction with other therapies, hypnosis has been found to be an effective treatment for chronic stress and related issues.",Visit site,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",http://www.ijnms.net/index.php/ijnms/article/view/8,,Hypnotherapy online,Company ,https://www.hypnotherapyonline.uk/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,,Voice stories app,Company,https://voice-stories.app/,Online,N/A,Free,??,None,,,N/A,N/A,N/A,Quarterly,,Hypnotherapist,Company,https://www.hypnotherapists.org.uk/hypnotherapy/benefits/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Health,Mind,Advanced brain & body fitness,4,2,Maintenance,1090,,Find a hypnotherapist,Find a hypnotherapist in your area ,"Find a hypnotherapist for in person sessions, to help you gain all the benefits that hypnotherapy has to offer.",,Visit site,UK,Weekly,Hypnotherapist ,https://www.hypnotherapists.org.uk/therapist-finder/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",http://www.ijnms.net/index.php/ijnms/article/view/8,,Hypnotherapist ,Charity,https://www.hypnotherapists.org.uk/therapist-finder/,Online,N/A,Paid,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Mind,Optimal health,5,2,Development,1091,1092,Mental health course,Learn about the importance of mental health courses,Learn about the importance of understanding mental health and well-being.,"Our mental health directly influences how we think, feel and act, it also affects our physical health. Having an understanding of mental health and wellbeing can not only impact and improve our mental health but also those who are in our lives.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://link.springer.com/article/10.1186/s12888-017-1356-5,,Mental health courses,Charity,https://mentalhealthcourses.org.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Learn direct,Company,https://www.learndirect.com/blog/the-importance-of-understanding-mental-health,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/www.learndirect.com,N/A,Yearly,,Red cross,Charity,https://blog.redcrossfirstaidtraining.co.uk/7-advantages-of-mental-health-training-that-will-help-deliver-value,Online,N/A,Free,No,None,,,4.9,https://uk.trustpilot.com/review/redcrossfirstaidtraining.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Health,Mind,Optimal health,5,2,Maintenance,1092,,Mental health course,Take a mental health course,Sign up to take a mental health course and build a healthy understanding of improving mental health.,,Sign up,All,Weekly,Mental health courses,https://mentalhealthcourses.org.uk/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://link.springer.com/article/10.1186/s12888-017-1356-5,,Mental health courses,Charity,https://mentalhealthcourses.org.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Financial security,3,3,Development,1093,,Trace lost money,Learn to see if you have any forgotten inactive accounts,"Learn more about inactive accounts, and how to see if you might have inactive accounts.","In the UK, there are millions of pounds in inactive accounts that remain unclaimed. Learn more about how to check to see if you have any dormant bank accounts, pensions, insurance policies or premium bonds.   ",Read,UK,,,,0-59,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Age UK,Charity,https://www.ageuk.org.uk/information-advice/money-legal/debt-savings/how-to-trace-lost-money/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Which,Content writer,https://www.which.co.uk/money/savings-and-isas/savings-accounts/how-to-find-lost-bank-and-savings-accounts-aU2w07j7905s,Online,N/A,Free,No,None,,,1.6,https://uk.trustpilot.com/review/www.which.co.uk,N/A,Yearly,,Money saving expert,Content writer,https://www.moneysavingexpert.com/reclaim/reclaim-lost-assets-free/,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.moneysavingexpert.com,N/A,Yearly,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,
Wealth,Manage,Financial security,3,3,Development,1094,,Trace old pensions,Learn how to track down all your different pension schemes,"Learn more about how to track down all your different old or lost pension schemes that both you or an employer paid into, help make sure you're claiming everything you're entitled to in retirement.","It’s not always easy to keep track of all your pensions, especially if you’ve been in more than one scheme or have changed employers throughout your career. The easiest way to claim any lost pensions is to trace them,  make sure you get all that is owed to you.",Read,UK,,,,0-59,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Age UK,Charity,https://www.ageuk.org.uk/information-advice/money-legal/pensions/tracing-old-pensions/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Gov,Government dept,https://www.gov.uk/government/news/new-pension-tracing-service-website-launched,Online,N/A,Free,No,None,,,2.6,https://uk.trustpilot.com/review/www.tax.service.gov.uk,N/A,Yearly,,AJ Bell,Company,https://www.ajbell.co.uk/find-my-pension?gclid=c78ba4fec26a1562676ac0bb9ef3b900,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/ajbell.co.uk,N/A,Yearly,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,
